INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,LOC_OF_OCCUR_DESC,PRECINCT,JURISDICTION_CODE,LOC_CLASSFCTN_DESC,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,New Georeferenced Column
250584475,09/03/2022,22:45:00,BROOKLYN,OUTSIDE,90,0,STREET,(null),N,(null),(null),(null),18-24,F,WHITE HISPANIC,"998,002","196,692",,,
242373589,03/18/2022,20:02:00,BRONX,OUTSIDE,49,0,STREET,(null),N,<18,M,BLACK,25-44,M,BLACK,"1,024,872","257,418",40.873134,-73.853117,POINT (-73.853117 40.873134)
251253188,09/18/2022,03:40:00,MANHATTAN,OUTSIDE,34,0,STREET,(null),N,(null),(null),(null),18-24,M,BLACK HISPANIC,"1,002,173","249,401",,,
242833883,03/29/2022,15:30:00,BROOKLYN,OUTSIDE,73,0,STREET,(null),N,(null),(null),(null),25-44,M,BLACK,"1,009,869","179,581",40.659549,-73.907661,POINT (-73.907661 40.659549)
250605937,09/02/2022,17:06:00,QUEENS,OUTSIDE,105,0,STREET,(null),Y,<18,M,BLACK,18-24,F,BLACK,"1,057,759","183,773",40.670787,-73.735005,POINT (-73.735005 40.670787)
250216145,08/27/2022,00:21:00,BRONX,OUTSIDE,44,0,VEHICLE,(null),N,(null),(null),(null),25-44,M,WHITE HISPANIC,"1,008,878","244,480",40.837683,-73.910994,POINT (-73.910994 40.837683)
242393698,03/20/2022,01:25:00,BROOKLYN,INSIDE,81,0,STREET,MULTI DWELL - APT BUILD,N,(null),(null),(null),18-24,M,BLACK,"1,002,921","191,952",40.693523,-73.932668,POINT (-73.932668 40.693523)
250551052,09/02/2022,20:35:00,BROOKLYN,OUTSIDE,94,0,STREET,(null),N,(null),(null),(null),45-64,M,WHITE,"999,504","204,663",40.728417,-73.944962,POINT (-73.944962 40.728417)
243630080,04/13/2022,23:30:00,MANHATTAN,INSIDE,25,0,DWELLING,MULTI DWELL - APT BUILD,N,25-44,F,WHITE HISPANIC,25-44,F,BLACK,"1,001,666","229,217",40.795807,-73.937099,POINT (-73.937099 40.795807)
251276894,09/18/2022,13:35:00,QUEENS,OUTSIDE,110,0,STREET,(null),Y,25-44,M,WHITE HISPANIC,25-44,M,WHITE HISPANIC,"1,020,310","211,511",40.747153,-73.869859,POINT (-73.869859 40.747153)
